"Molecule ChEMBL ID"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"Target ChEMBL ID"	"SlogP"	"SMR"	"LabuteASA"	"TPSA"	"AMW"	"ExactMW"	"NumLipinskiHBA"	"NumLipinskiHBD"	"NumRotatableBonds"	"NumHBD"	"NumHBA"	"NumAmideBonds"	"NumHeteroAtoms"	"NumHeavyAtoms"	"NumAtoms"	"NumStereocenters"	"NumUnspecifiedStereocenters"	"NumRings"	"NumAromaticRings"	"NumSaturatedRings"	"NumAliphaticRings"	"NumAromaticHeterocycles"	"NumSaturatedHeterocycles"	"NumAliphaticHeterocycles"	"NumAromaticCarbocycles"	"NumSaturatedCarbocycles"	"NumAliphaticCarbocycles"	"FractionCSP3"	"Chi0v"	"Chi1v"	"Chi2v"	"Chi3v"	"Chi4v"	"Chi1n"	"Chi2n"	"Chi3n"	"Chi4n"	"HallKierAlpha"	"kappa1"	"kappa2"	"kappa3"	"slogp_VSA1"	"slogp_VSA2"	"slogp_VSA3"	"slogp_VSA4"	"slogp_VSA5"	"slogp_VSA6"	"slogp_VSA7"	"slogp_VSA8"	"slogp_VSA9"	"slogp_VSA10"	"slogp_VSA11"	"slogp_VSA12"	"smr_VSA1"	"smr_VSA2"	"smr_VSA3"	"smr_VSA4"	"smr_VSA5"	"smr_VSA6"	"smr_VSA7"	"smr_VSA8"	"smr_VSA9"	"smr_VSA10"	"peoe_VSA1"	"peoe_VSA2"	"peoe_VSA3"	"peoe_VSA4"	"peoe_VSA5"	"peoe_VSA6"	"peoe_VSA7"	"peoe_VSA8"	"peoe_VSA9"	"peoe_VSA10"	"peoe_VSA11"	"peoe_VSA12"	"peoe_VSA13"	"peoe_VSA14"	"MQN1"	"MQN2"	"MQN3"	"MQN4"	"MQN5"	"MQN6"	"MQN7"	"MQN8"	"MQN9"	"MQN10"	"MQN11"	"MQN12"	"MQN13"	"MQN14"	"MQN15"	"MQN16"	"MQN17"	"MQN18"	"MQN19"	"MQN20"	"MQN21"	"MQN22"	"MQN23"	"MQN24"	"MQN25"	"MQN26"	"MQN27"	"MQN28"	"MQN29"	"MQN30"	"MQN31"	"MQN32"	"MQN33"	"MQN34"	"MQN35"	"MQN36"	"MQN37"	"MQN38"	"MQN39"	"MQN40"	"MQN41"	"MQN42"
"CHEMBL390765"	"CC(=O)c1cc(Cl)ccc1OCC(=O)Nc1ccccc1C(=O)O"	"IC50"	"'='"	530	"nM"	"CHEMBL379"	3.2583	88.98250000000006	162.3729954825829	92.7	347.75399999999985	347.05605022800034	6	2	7	2	5	1	7	24	38	0	0	2	2	0	0	0	0	0	2	0	0	0.11764705882352941	12.122348466846955	6.238905176405389	4.232339384808352	2.4892097466618783	1.50657552429776	12.716402589359982	3.854374911799125	2.3002275101572645	1.3648388469193002	-2.8599999999999994	6.565194832002093	7.608623891357695	4.329673240392461	10.046676307088426	29.327523397691795	4.794537184071822	0	44.01697214287598	42.29693095364306	6.434475392069527	1.4311996572326342	0	5.687386274683562	5.749511833283905	11.600939890232516	42.09022744949358	1.4311996572326342	0	0	6.851892117295679	11.868798596204664	58.446467250778376	0	5.749511833283905	34.94805612858437	15.155484498195637	9.589074368143644	4.794537184071822	0	0	23.685777305559107	37.06398565561216	9.134908982251988	29.15111626360953	5.749511833283905	13.754072267609429	0	7.33837938658414	5.969305287951849	17	0	1	0	0	0	0	1	0	5	0	24	24	3	0	6	6	0	7	11	6	0	0	0	0	4	2	4	2	0	12	0	0	0	0	2	0	0	0	0	0	0
"CHEMBL228234"	"O=C(CNc1ccc(F)c(Cl)c1)Nc1ccccc1C(=O)O"	"IC50"	"'='"	210	"nM"	"CHEMBL379"	3.227900000000001	81.93070000000004	147.331557142676	78.43	322.72299999999984	322.0520481440003	5	3	5	3	4	1	7	22	34	0	0	2	2	0	0	0	0	0	2	0	0	0.06666666666666667	11.131029954428413	5.762728572714165	3.881162781117129	2.320437262113986	1.3194007907158438	11.187439581168718	3.5031983081079012	2.0600264541808007	1.182651959727111	-2.5999999999999996	6.256729157140678	6.906843880182502	3.9547593293672247	10.619626706576751	23.482152892726514	4.794537184071822	5.817220841045895	22.694815681300796	42.29693095364306	7.846317470397728	1.4311996572326342	0	15.765187597041944	0	11.600939890232516	34.248808769114056	1.4311996572326342	0	0	0	17.116486390892696	58.700236600127276	0	0	34.85219745690299	15.728434897683965	4.794537184071822	9.184952231746642	0	0	23.685777305559107	30.212093538316473	5.687386274683562	35.10715776996981	5.817220841045895	2.8236841566564013	5.907179729351506	1.4311996572326342	5.969305287951849	15	1	1	0	0	0	0	2	0	3	0	22	21	2	0	6	6	0	5	8	5	0	0	0	0	4	1	4	1	0	12	0	0	0	0	2	0	0	0	0	0	0
"CHEMBL376104"	"CC(=O)c1cc(Cl)c(F)cc1NCC(=O)Nc1ccccc1C(=O)O"	"IC50"	"'='"	180	"nM"	"CHEMBL379"	3.4305000000000003	91.93520000000005	167.0329044718486	95.50000000000001	364.7599999999999	364.06261282800034	6	3	7	3	5	1	8	25	39	0	0	2	2	0	0	0	0	0	2	0	0	0.11764705882352941	12.539278244892277	6.466852717946097	4.4602869263490605	2.728401034167447	1.602765925643507	12.89156372640065	4.082322453339834	2.467990226234262	1.461029248265047	-2.9299999999999997	7.129945863180421	7.760521219844208	4.542725721595483	10.619626706576751	29.265397839091452	4.794537184071822	5.817220841045895	42.646213586705755	36.25451224597977	7.846317470397728	1.4311996572326342	0	15.765187597041944	0	11.600939890232516	41.78486306552633	1.4311996572326342	0	0	6.851892117295679	17.116486390892696	58.22126938416098	0	0	40.63544240326793	15.728434897683965	9.589074368143644	9.184952231746642	0	0	23.685777305559107	31.02156694794886	15.363113434891217	33.73639921379959	5.817220841045895	8.60692910302134	5.907179729351506	1.4311996572326342	5.969305287951849	17	1	1	0	0	0	0	2	0	4	0	25	25	3	0	6	6	0	7	10	6	0	0	0	0	5	1	5	2	0	12	0	0	0	0	2	0	0	0	0	0	0
"CHEMBL227745"	"CC(=O)c1cc(F)c(Cl)cc1NCC(=O)Nc1ccccc1C(=O)O"	"IC50"	"'='"	2000	"nM"	"CHEMBL379"	3.4305000000000003	91.93520000000005	167.0329044718486	95.50000000000001	364.7599999999999	364.06261282800034	6	3	7	3	5	1	8	25	39	0	0	2	2	0	0	0	0	0	2	0	0	0.11764705882352941	12.539278244892278	6.4668527179460975	4.4602869263490605	2.728401034167447	1.5977780792537792	12.89156372640065	4.082322453339834	2.467990226234262	1.461029248265047	-2.9299999999999997	7.129945863180421	7.760521219844208	4.542725721595483	10.619626706576751	29.265397839091452	4.794537184071822	5.817220841045895	42.646213586705755	36.25451224597977	7.846317470397728	1.4311996572326342	0	15.765187597041944	0	11.600939890232516	41.78486306552633	1.4311996572326342	0	0	6.851892117295679	17.116486390892696	58.22126938416098	0	0	40.63544240326793	15.728434897683965	9.589074368143644	9.184952231746642	0	0	23.685777305559107	31.02156694794886	15.363113434891217	33.73639921379959	5.817220841045895	8.60692910302134	5.907179729351506	1.4311996572326342	5.969305287951849	17	1	1	0	0	0	0	2	0	4	0	25	25	3	0	6	6	0	7	10	6	0	0	0	0	5	1	5	2	0	12	0	0	0	0	2	0	0	0	0	0	0
"CHEMBL389247"	"Cc1cc(Cl)ccc1OCC(=O)Nc1ccccc1C(=O)O"	"IC50"	"'>'"	11000	"nM"	"CHEMBL379"	3.3641200000000007	83.71500000000006	151.8465312681425	75.63	319.7439999999998	319.0611356080003	5	2	6	2	4	1	6	22	36	0	0	2	2	0	0	0	0	0	2	0	0	0.125	11.214100176383091	5.784781031173457	3.903215239576421	2.2621476740459125	1.346695636502453	12.262278444128052	3.5252507665671935	2.0731654375412987	1.2049589591239926	-2.53	5.590069090489504	6.9546899150925015	3.988389245274015	10.046676307088426	23.544278451326857	4.794537184071822	6.851892117295679	32.37054284150845	42.29693095364306	6.434475392069527	1.4311996572326342	0	5.687386274683562	5.749511833283905	11.600939890232516	37.29569026542175	1.4311996572326342	0	0	6.851892117295679	11.868798596204664	58.446467250778376	0	5.749511833283905	29.16481118221943	15.155484498195637	4.794537184071822	4.794537184071822	0	0	23.685777305559107	42.627437147309145	9.134908982251988	23.587664771912536	5.749511833283905	7.97082732124449	0	7.33837938658414	5.969305287951849	16	0	1	0	0	0	0	1	0	4	0	22	23	2	0	6	6	0	6	9	5	0	0	0	0	3	2	3	2	0	12	0	0	0	0	2	0	0	0	0	0	0
"CHEMBL4070313"	"N#CC[C@H]1C(C(=O)c2ccccc2)=CC=CN1Cc1ccccc1"	"IC50"	"'='"	10850	"nM"	"CHEMBL379"	4.107480000000003	93.99850000000002	166.99134359196916	44.1	314.3879999999997	314.1419131960005	3	0	5	0	3	0	3	24	42	1	0	3	2	0	1	0	0	1	2	0	0	0.14285714285714285	11.80267548146378	6.348551336231848	4.098551336231848	2.6676496367943527	1.6990033893765368	15.348551336231848	4.098551336231848	2.6676496367943527	1.6990033893765368	-3.1199999999999988	4.937890786263841	7.431316813874199	3.4413090204513925	0	16.701047145565063	6.496859684315945	11.33111286753076	46.96801907985918	84.2774416277955	0	0	0	0	0	0	29.468191195135777	5.261891554738487	4.899909730850478	0	18.88767705399497	0	95.40434461118952	0	6.069221312792274	5.783244946364939	4.899909730850478	4.794537184071822	0	5.261891554738487	0	66.47625882266851	11.615523237732562	26.550939347444782	40.392175581194834	0	5.783244946364939	0	0	0	21	0	0	0	0	0	0	1	1	1	0	24	24	1	1	10	8	0	5	4	3	0	0	0	0	2	1	1	2	0	17	1	0	0	0	3	0	0	0	0	0	0
"CHEMBL2392416"	"COc1c(-c2ccc3c(c2)CCC3NNS(C)(=O)=O)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C"	"IC50"	"'='"	47	"nM"	"CHEMBL379"	3.2707000000000015	134.46489999999997	247.4316859384954	116.84	498.6049999999998	498.19369106000084	9	3	8	3	6	3	10	35	65	1	1	4	2	0	2	0	0	1	2	0	1	0.36	17.55484070571074	10.268232360628561	7.670291551729128	4.454864206394178	2.973952056103949	23.669809818327796	6.556859555887269	4.158231556875298	2.7848109022981244	-3.2100000000000004	7.179495800851698	9.102236060624845	5.2397024120485405	25.18952459116952	33.57796778601756	26.605743708205566	0	86.64732921325295	42.44017181337417	4.235526234984602	11.126902983393991	0	10.481923458755384	5.749511833283905	0	63.98974155785323	0	15.552751906518992	0	44.73440909229222	18.121786290849524	59.130526288465155	0	16.876414816677897	27.64897166978072	4.736862953800049	15.004260268210675	18.63115031479319	4.824122406838185	0	38.68293247487692	46.93603216247311	51.3050106255249	33.987606952555026	7.161353911612106	2.8236841566564013	10.023291153407584	5.907179729351506	6.031114512338072	25	0	0	0	0	1	0	2	2	5	0	35	42	4	0	15	7	0	8	14	9	0	0	0	0	4	1	2	7	0	18	3	0	0	1	3	0	0	0	0	2	1
"CHEMBL2371795"	"CCC[C@H](NC(=O)[C@@H]1C2CCCC2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)[C@@H](C)CC)C(C)(C)C)C(=O)C(=O)NC1CC1"	"IC50"	"'='"	1440	"nM"	"CHEMBL379"	1.9117000000000035	173.46929999999958	348.61560609511173	179.56	653.8250000000022	653.3900823520015	13	4	17	4	8	5	13	47	98	7	2	4	1	3	3	1	1	1	0	2	2	0.7058823529411765	22.579984911282885	11.828846837641272	8.274971939149077	5.155250217269497	3.1480235619421606	37.117701219641106	8.274971939149077	5.155250217269497	3.1480235619421606	-3.9000000000000004	8.102200795256044	15.334566942886532	8.722059083102605	21.239253413153502	86.77333239193153	23.97268592035911	23.096863525486018	167.00886923332953	18.51868563244428	5.6473683133128025	0	0	0	0	0	98.84024355774403	0	36.107120185898395	23.096863525486018	122.18421425615732	6.496859684315945	24.212613627292743	0	0	35.31914359312247	26.139163144003984	33.75120162537814	4.9839785209472085	0	0	60.230127407762204	54.961488032132905	78.32012626493372	23.15685612852616	23.7476053998974	5.6473683133128025	23.504784134419456	11.814359458703011	0	34	0	0	0	0	0	0	4	3	6	0	47	77	6	0	15	3	0	17	19	13	0	0	0	0	6	0	10	14	2	5	10	1	0	2	1	0	0	0	0	2	1
"CHEMBL2403317"	"COc1ccnc(Oc2ccc3c(c2)c(=O)ncn3Cc2c(F)cc(F)cc2F)c1C(F)(F)F"	"IC50"	"'='"	100	"nM"	"CHEMBL379"	5.5073000000000025	107.62850000000005	205.88571656588533	64.02	481.35199999999986	481.08611059600037	6	0	6	0	5	1	12	34	47	0	0	4	3	0	1	1	0	1	2	0	0	0.13636363636363635	15.834172495946826	8.46976172943719	6.018613932944145	3.912435264766598	2.5355012644112542	14.96976172943719	6.018613932944145	3.912435264766598	2.5355012644112542	-4.089999999999999	11.860363806413169	8.68883540964773	4.382478267066378	14.373635638450576	24.243697710904872	12.67315820175942	17.451662523137685	39.304752889375685	47.419812189430196	0	0	0	32.02987656073248	17.37901200300318	0	58.43061460793375	0	4.9839785209472085	4.992404732635669	12.67315820175942	11.937862189733067	76.5694244550232	0	17.37901200300318	17.909153005758636	14.373635638450576	4.794537184071822	18.155223663971668	18.163649875660127	0	0	24.16967483065318	23.821184117838346	47.549339585345336	30.321444745875713	5.563451491696996	5.879988336435371	5.907179729351506	6.176298517443475	22	6	0	0	0	0	0	0	3	3	0	34	26	1	0	13	10	0	6	9	6	0	0	0	0	7	2	0	3	2	20	0	0	0	0	4	0	0	0	0	2	1
"CHEMBL2403332"	"O=c1ncn(Cc2ccc(C(F)(F)F)cc2)c2ccc(Oc3ncccc3C(F)(F)F)cc12"	"IC50"	"'>'"	7500	"nM"	"CHEMBL379"	6.100200000000004	106.20450000000001	200.77217133637845	54.790000000000006	465.3529999999999	465.09119597600034	5	0	4	0	4	1	11	33	46	0	0	4	3	0	1	1	0	1	2	0	0	0.13636363636363635	15.42592420548296	8.311513438973329	5.893240074625037	3.687788964974379	2.301284932613546	14.811513438973329	5.893240074625037	3.687788964974379	2.301284932613546	-3.889999999999999	11.303638044611363	8.227560325575492	4.8114749481912815	9.636772684650527	17.205745252022282	18.849456719202895	0	44.868204381072694	65.54706831242008	0	0	0	32.02987656073248	11.629500169719275	0	53.69375165413369	0	4.9839785209472085	4.992404732635669	18.849456719202895	4.899909730850478	82.8084695465724	0	11.629500169719275	17.909153005758636	9.636772684650527	4.794537184071822	4.9839785209472085	31.33489501868459	0	12.08483741532659	47.86038244534006	12.669754895130705	39.577978933843774	12.68372188115112	0	5.879988336435371	5.907179729351506	12.35259703488695	22	6	0	0	0	0	0	0	3	2	0	33	25	1	0	13	10	0	4	7	5	0	0	0	0	7	1	0	3	2	20	0	0	0	0	4	0	0	0	0	2	1
