molecule_chembl_id,smiles,standard_relation,standard_value_nm,standard_units,target_chembl_id,exclusion_reason
CHEMBL2347329,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccccc3C(F)(F)F)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3122038,COC(=O)N[C@H](C(=O)N1CC2(CCNCC2)CC1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,'>',31.62,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2047201,COC(=O)N[C@H](C(=O)N1C[C@@H](n2cc(C(=O)OC)nn2)C[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5C[C@H](n6cc(C(=O)OC)nn6)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,'<',1000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL5183244,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1cccc(-c2ccc3c(c2)C(F)(F)c2cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc2-3)c1)C(C)C,'>',0.5,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950055,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@@H]1n1cc(Cl)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950056,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@@H]1n1cc(Br)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3764952,COC(=O)N[C@H](C(=O)N1C[Si](C)(C)C[C@H]1c1ncc(-c2ccc(-c3ccc4nc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c4c3)cc2)[nH]1)C(C)C,'>',1.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3326828,COc1ccc2c(OC[C@@H]3C[C@H]4C(=O)N(C)CCCC/C=C\[C@H]5C[C@]5(C(=O)NS(=O)(=O)C5CC5)NC(=O)N34)cc(-c3nc(C(C)C)cs3)nc2c1Cl,'<',750.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL412366,CC(C)[C@H](NP(=O)(OC[C@@]1(N=[N+]=[N-])O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H]1O)Oc1ccccc1)C(=O)OCc1ccccc1,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3121860,Cc1ccc(O)c(-c2nn(C)cc2C#Cc2ccc(NC(=O)[C@@H]3COCCN3C(=O)[C@H](NC(=O)OC(C)(C)C)c3ccccc3)cc2)c1,'<',1000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3120306,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCN(C(=O)OC(C)(C)C)C(=O)[C@@H]4C3)cc(-c3ccccc3)nc2c1,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347339,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(N=[N+]=[N-])cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347331,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1093221,Cc1c(NC2CCN(Cc3ccccc3)CC2)ccc2c(=O)n(-c3cccc(Cl)c3)c3nncn3c12,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3360459,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)Oc2ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc2C(=O)N3)[nH]1)C(C)C,'>',3.7,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3892780,C/C(=N\Nc1ncnc2sc3c(c12)CCCC3)c1cc(O)ccc1O,'<',2200.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL450647,Cc1cc(C)c(-c2cc([C@H](C)O/N=C3\[C@H]4CCn5c(=O)n(-c6ccccc6)c(=O)n5C4[C@H](O)[C@@H]4O[C@H]34)on2)c(C)c1,'<',500.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347162,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(OC(F)(F)F)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347160,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(C#N)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3121149,CC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(C)=O)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,'>',123.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3824225,CC(C)OC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc4c(c3)c(Cl)cc3nc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC(C)C)C(C)C)[nH]c34)cc2)[nH]1)C(C)C,'>',1.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950063,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Cl)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3360463,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)Cc2cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc2O3)[nH]1)C(C)C,'>',3.7,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3976975,C/C(=N\Nc1ncnc2sc3c(c12)CCCC3)c1ccc2ccccc2n1,'<',697.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3808771,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3nc4cc(-c5cnc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]5)oc4nc3c2)[nH]1)C(C)C,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL374017,[N-]=[N+]=N[C@]1(COP(=O)(N[C@@H](Cc2ccccc2)C(=O)OCc2ccccc2)Oc2ccccc2)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H]1O,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3121231,COC(=O)NC(C)(C)C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)C(C)(C)NC(=O)OC)[nH]4)cc3)cc2)[nH]1,'>',123.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3120307,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCCN(C(=O)OC(C)(C)C)C(=O)[C@@H]4C3)cc(-c3ccccc3)nc2c1,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3120305,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCN(C(=O)OC(C)(C)C)C(=O)[C@@H]4C3)cc(-c3ccccc3)nc2c1,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950076,C#Cc1cn([C@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3957589,COc1cnc(O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4CC4)C[C@H]3C(C)C)N(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C2)c2cc(Cl)ccc12,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347334,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(OC)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3120310,COc1ccc2c(O[C@H]3C[C@H]4C(=O)NCCCC/C=C\[C@@H]5C[C@@]5(C(=O)O)NC(=O)[C@@H]4C3)cc(-c3ccccc3)nc2c1,'>',10.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2407751,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)CO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,'<',3000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL373783,[N-]=[N+]=N[C@]1(COP(=O)(N[C@H](C(=O)OCc2ccccc2)C2CCCC2)Oc2ccccc2)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H]1O,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3426543,O=C1C[C@]2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccc(Cl)cc3)c2N1,'>',5.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950064,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Br)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950235,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C#Cc2ccccc2)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347158,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(Br)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347330,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cccc(C(F)(F)F)c3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950073,CCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950231,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2023320,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cnc([C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]3)cc2)[nH]1)C(C)C,'>',1.0,nM,CHEMBL379,ambiguous_censored_label
