descriptor_name,retained_descriptor_name,absolute_train_correlation,filter_reason
LabuteASA,SMR,0.9900346875230447,absolute_correlation_above_threshold
AMW,SMR,0.9719742128217778,absolute_correlation_above_threshold
ExactMW,SMR,0.9720371288131142,absolute_correlation_above_threshold
NumLipinskiHBA,TPSA,0.9626961271576971,absolute_correlation_above_threshold
NumHBD,NumLipinskiHBD,0.9678408172434858,absolute_correlation_above_threshold
NumHBA,TPSA,0.9098640737383403,absolute_correlation_above_threshold
NumHeteroAtoms,TPSA,0.9019158720455753,absolute_correlation_above_threshold
NumHeavyAtoms,SMR,0.9852091027855694,absolute_correlation_above_threshold
NumAtoms,SMR,0.9734955001421546,absolute_correlation_above_threshold
NumAliphaticRings,NumSaturatedRings,0.8697850756898245,absolute_correlation_above_threshold
NumAliphaticCarbocycles,NumSaturatedCarbocycles,0.9648876359837041,absolute_correlation_above_threshold
Chi0v,SMR,0.9848951555626203,absolute_correlation_above_threshold
Chi1v,SMR,0.9581907423393086,absolute_correlation_above_threshold
Chi2v,SMR,0.9048125137981106,absolute_correlation_above_threshold
Chi3v,SMR,0.8791191034636425,absolute_correlation_above_threshold
Chi4v,SMR,0.8247924724131658,absolute_correlation_above_threshold
Chi1n,SMR,0.9615641396338808,absolute_correlation_above_threshold
Chi2n,SMR,0.9689569273002963,absolute_correlation_above_threshold
Chi3n,SMR,0.9348571931705377,absolute_correlation_above_threshold
Chi4n,SMR,0.8863703925699922,absolute_correlation_above_threshold
kappa2,SMR,0.9269823384932274,absolute_correlation_above_threshold
kappa3,SMR,0.823786930034191,absolute_correlation_above_threshold
slogp_VSA5,SMR,0.8593323964840943,absolute_correlation_above_threshold
slogp_VSA6,NumAromaticCarbocycles,0.8403333248884676,absolute_correlation_above_threshold
smr_VSA1,SMR,0.8720555506385754,absolute_correlation_above_threshold
smr_VSA7,NumAromaticCarbocycles,0.8487657188904,absolute_correlation_above_threshold
MQN1,SMR,0.9782801286054009,absolute_correlation_above_threshold
MQN9,smr_VSA3,0.8257646929924691,absolute_correlation_above_threshold
MQN10,TPSA,0.8840822656166423,absolute_correlation_above_threshold
MQN12,SMR,0.9852091027855694,absolute_correlation_above_threshold
MQN13,SMR,0.9071860552341621,absolute_correlation_above_threshold
MQN16,NumRings,0.8589281794100673,absolute_correlation_above_threshold
MQN17,NumAromaticRings,0.9581162251258654,absolute_correlation_above_threshold
MQN19,NumRotatableBonds,0.8401685115034766,absolute_correlation_above_threshold
MQN20,TPSA,0.9595431265430396,absolute_correlation_above_threshold
MQN21,TPSA,0.9626812073195781,absolute_correlation_above_threshold
MQN25,MQN24,0.9984004965072268,absolute_correlation_above_threshold
MQN31,NumAromaticRings,0.8171948048321288,absolute_correlation_above_threshold
MQN32,NumSaturatedRings,0.9270014209887888,absolute_correlation_above_threshold
MQN42,MQN41,0.9499228410106061,absolute_correlation_above_threshold
