smiles,activity,threshold_nm,source_record_count,representative_molecule_chembl_id,source_molecule_chembl_ids,source_relations,source_values_nm,label_sources,target_chembl_id
C#CC[C@]1(C)CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O,0,310.0,1,CHEMBL582802,CHEMBL582802,'=',960.0,exact,CHEMBL379
C#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,0,310.0,1,CHEMBL2016764,CHEMBL2016764,'=',232000.0,exact,CHEMBL379
C#C[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0,310.0,1,CHEMBL99478,CHEMBL99478,'=',2700.0,exact,CHEMBL379
C#Cc1ccc2c(c1)c(-c1ccc[nH]c1=O)c(C(=O)O)n2Cc1ccnc(N)c1,1,310.0,1,CHEMBL2011073,CHEMBL2011073,'=',48.0,exact,CHEMBL379
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,310.0,1,CHEMBL553,CHEMBL553,'=',530.0,exact,CHEMBL379
C(=N/Nc1ncnc2c1c(-c1ccccc1)c(-c1ccccc1)n2C1CCCCC1)\c1ccccc1,0,310.0,1,CHEMBL3799327,CHEMBL3799327,'>',150000.0,right_censored_inactive,CHEMBL379
C/C(=C\CC[C@]1(C)[C@@H](C(=O)O)C[C@H]1[C@](C)(O)C(=O)O)C(=O)O,0,310.0,1,CHEMBL4446488,CHEMBL4446488,'=',42900.0,exact,CHEMBL379
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N(C)C)ccc3-c3ccc(C#N)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,0,310.0,1,CHEMBL1784253,CHEMBL1784253,'=',820.0,exact,CHEMBL379
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N(C)C)ccc3-c3ccc(Cl)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,0,310.0,1,CHEMBL1784249,CHEMBL1784249,'=',460.0,exact,CHEMBL379
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(C#N)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,0,310.0,1,CHEMBL1784254,CHEMBL1784254,'=',340.0,exact,CHEMBL379
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,0,310.0,1,CHEMBL1784250,CHEMBL1784250,'=',440.0,exact,CHEMBL379
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)NCCO)ccc3-c3ccc(Cl)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,0,310.0,1,CHEMBL1784252,CHEMBL1784252,'=',1030.0,exact,CHEMBL379
C/C(=C\c1nn(C2CCCCC2)c(-c2ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc2)c1Br)C(=O)O,0,310.0,1,CHEMBL1784251,CHEMBL1784251,'=',650.0,exact,CHEMBL379
C/C(=C\c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O)C(F)(F)F,1,310.0,1,CHEMBL258899,CHEMBL258899,'=',130.0,exact,CHEMBL379
C/C(=N\Nc1ncnc2ccccc12)C(=O)O,0,310.0,1,CHEMBL2153815,CHEMBL2153815,'=',22900.0,exact,CHEMBL379
C/C=C/c1cn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O,1,310.0,1,CHEMBL259716,CHEMBL259716,'=',35.0,exact,CHEMBL379
C=C(C)c1ncccc1C(=O)Nc1ccc(C(C)C)cc1N1CCN(c2cnccn2)CC1,0,310.0,1,CHEMBL2011014,CHEMBL2011014,'>',200000.0,right_censored_inactive,CHEMBL379
C=C/C=C(\C)[C@@H]1C/C=C/C=C/[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCC[C@H](N2)C(=O)O1,1,310.0,1,CHEMBL4062068,CHEMBL4062068,'=',130.0,exact,CHEMBL379
C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)C(C)(OC)NC1=O,0,310.0,1,CHEMBL251052,CHEMBL251052,'>',20000.0,right_censored_inactive,CHEMBL379
C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\NC(=O)[C@H](C)NC1=O,0,310.0,1,CHEMBL400768,CHEMBL400768,'>',20000.0,right_censored_inactive,CHEMBL379
C=CC(C)(C)c1[nH]c2ccccc2c1/C=c1\[nH]c(=O)c(=C)[nH]c1=O,0,310.0,1,CHEMBL268796,CHEMBL268796,'=',4700.0,exact,CHEMBL379
C=CC(C)(C)c1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](C)NC1=O,0,310.0,1,CHEMBL249258,CHEMBL249258,'>',20000.0,right_censored_inactive,CHEMBL379
C=CCC1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)c2ccccc21,1,310.0,1,CHEMBL246049,CHEMBL246049,'=',225.0,exact,CHEMBL379
C=CCCCCCC(=O)CCCCCC/C=C/[C@H](C(=O)N[C@@H](Cc1ccc(OCCC(C)C)cc1)C(=O)O)[C@@](O)(CC(=O)O)C(=O)O,1,310.0,1,CHEMBL2312027,CHEMBL2312027,'=',6.1,exact,CHEMBL379
C=CCN(CC=C)C(=O)c1c(F)cccc1OCC(=O)N[C@H](CO)Cc1ccccc1,0,310.0,1,CHEMBL1091990,CHEMBL1091990,'=',2200.0,exact,CHEMBL379
C=CCN1c2ccc(OC)cc2[C@]23CCC(=O)N(Cc4cc(OC)c(OC)c(OC)c4)C2=NC(C(=O)OC)=C(C(=O)OC)C13,0,310.0,1,CHEMBL571376,CHEMBL571376,'=',2000.0,exact,CHEMBL379
C=CCN1c2ccc(OC)cc2[C@]23CCC(=O)N(Cc4ccccc4)C2=NC(C(=O)OC)=C(C(=O)OC)C13,0,310.0,1,CHEMBL584485,CHEMBL584485,'=',1400.0,exact,CHEMBL379
C=CCNC(=O)C(=O)C(CCC)NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)Cc1cccc(c1)OCCC(C)(C)O2,0,310.0,1,CHEMBL372150,CHEMBL372150,'=',400.0,exact,CHEMBL379
C=CCNC(=O)NC(=N)NCCCNCCCCNCCCNC(=N)NC(=O)NCC=C,0,310.0,1,CHEMBL4444240,CHEMBL4444240,'=',12300.0,exact,CHEMBL379
C=CCOC(=O)N[C@H](C(=O)O)[C@@]1(CCC)OCCc2c1[nH]c1c(C)ccc(C#N)c21,0,310.0,1,CHEMBL1097812,CHEMBL1097812,'=',5900.0,exact,CHEMBL379
C=CC[C@]1(C(=O)c2ccccc2)C=CCN(Cc2ccccc2)[C@H]1CC#N,0,310.0,1,CHEMBL4105197,CHEMBL4105197,'=',15440.0,exact,CHEMBL379
C=CC[C@]1(CO)O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0,310.0,1,CHEMBL396350,CHEMBL396350,'=',22000.0,exact,CHEMBL379
C=CCc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@@H](C)O2,0,310.0,1,CHEMBL4472700,CHEMBL4472700,'=',30000.0,exact,CHEMBL379
C=CCc1cc(OC)c2c(c1)O[C@H](c1ccc3c(c1)OCO3)[C@@H](C)O2,0,310.0,1,CHEMBL4527813,CHEMBL4527813,'=',20000.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3cccc(C(C)C)n3)nc3c(Cl)c(OCCOC)ccc23)[C@H]2CC[C@H](C(C)C)C(=O)N21)C(=O)NS(=O)(=O)C1CC1,1,310.0,1,CHEMBL1938989,CHEMBL1938989,'=',1.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O,1,310.0,1,CHEMBL222385,CHEMBL222385,'=',54.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(=O)O,0,310.0,1,CHEMBL447367,CHEMBL447367,'=',492.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O,1,310.0,1,CHEMBL1938982,CHEMBL1938982,'=',2.6,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3nc(C(C)C)cs3)nc3c(C)c(OC)ccc23)[C@H]2CCCC(=O)N21)C(=O)NS(=O)(=O)C1CC1,1,310.0,1,CHEMBL1938984,CHEMBL1938984,'=',47.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3nc(C(C)C)cs3)nc3c(C)c(OC)ccc23)[C@H]2CC[C@H](C(C)C)C(=O)N21)C(=O)NS(=O)(=O)C1CC1,1,310.0,1,CHEMBL1938983,CHEMBL1938983,'=',3.0,exact,CHEMBL379
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3nc(C(C)C)cs3)nc3c(Cl)c(OC)ccc23)[C@H]2CCCC(=O)N21)C(=O)NS(=O)(=O)C1CC1,1,310.0,1,CHEMBL1938990,CHEMBL1938990,'=',32.0,exact,CHEMBL379
